2020-06-29T21:21:03.238Z, 1593465663238, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:21:03.400Z, 1593465663400, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:21:03.563Z, 1593465663563, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:21:03.721Z, 1593465663721, ea:39:da:f1:99:98, pr-3fe7, -71
2020-06-29T21:21:03.883Z, 1593465663883, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:21:04.040Z, 1593465664040, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:21:04.202Z, 1593465664202, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:21:04.366Z, 1593465664366, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:21:04.711Z, 1593465664711, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:21:04.840Z, 1593465664840, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:21:05.003Z, 1593465665003, ea:39:da:f1:99:98, pr-3fe7, -60
2020-06-29T21:21:05.161Z, 1593465665161, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:21:05.316Z, 1593465665316, ea:39:da:f1:99:98, pr-3fe7, -71
