2020-06-29T19:50:34.795Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:34.964Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:35.601Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:36.057Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:36.220Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:36.693Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:36.850Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:37.324Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:37.472Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:37.636Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:38.260Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:38.575Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:38.736Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:39.359Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:39.521Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:39.845Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:40.008Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:40.779Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:40.935Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:41.561Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:42.029Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:42.185Z, f0:eb:32:89:9a:aa, pr-3fe7, -81
2020-06-29T19:50:42.397Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:42.656Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:43.617Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:43.920Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:44.242Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:44.697Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:44.861Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:45.332Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:45.957Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:46.274Z, f0:eb:32:89:9a:aa, pr-3fe7, -77
2020-06-29T19:50:46.743Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:46.897Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:47.225Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:47.377Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
